rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,LockStatus,NumOfSats,HDOP,AgeOfDiff,xEast,yNorth,zUp,BaseStationID,NTRIP_Status,MessageDisplay
1720654911111212124,,1,,1720654911,18565416,"""SparkFun GPS Diagnostic""",2,12,0.52,0.2,-174266.9610861726,-46496.331840616935,-2663.2078764239204,"""PSU_Pitts""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1720654911118987839,,2,,1720654911,117352008,"""SparkFun GPS Diagnostic""",2,12,0.5,0.2,-174267.50231233006,-46495.716217907095,-2663.285174166494,"""PSU_Pitts""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1720654911225818123,,3,,1720654911,225201129,"""SparkFun GPS Diagnostic""",2,12,0.48,0.1,-174268.04563810868,-46495.082581009236,-2663.3633980078307,"""PSU_Pitts""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1720654911313748433,,4,,1720654911,313076734,"""SparkFun GPS Diagnostic""",2,12,0.5,0.1,-174268.60199321024,-46494.43665304418,-2663.4358853244044,"""PSU_Pitts""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1720654911409335193,,5,,1720654911,408476591,"""SparkFun GPS Diagnostic""",2,12,0.48,0.2,-174269.16441351123,-46493.77670644126,-2663.50743540574,"""PSU_Pitts""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1720654911520499373,,6,,1720654911,520095586,"""SparkFun GPS Diagnostic""",2,12,0.48,0.1,-174269.72985083467,-46493.10495471772,-2663.5879852379126,"""PSU_Pitts""",True,"""SparkFun GPS Locked with Standard Positioning Service (SPS)"""
1720654911623910748,,7,,1720654911,623667240,"""SparkFun GPS Diagnostic""",6,12,0.48,0.1,-174270.2594624485,-46492.41060633021,-2664.0775557849825,"""PSU_Pitts""",True,"""SparkFun GPS Locked with RTK"""
1720654911710703910,,8,,1720654911,709950685,"""SparkFun GPS Diagnostic""",6,12,0.48,0.2,-174270.83970283097,-46491.70386536881,-2664.161255291564,"""PSU_Pitts""",True,"""SparkFun GPS Locked with RTK"""
1720654911821048099,,9,,1720654911,820465087,"""SparkFun GPS Diagnostic""",6,12,0.5,0.2,-174271.435539524,-46490.985248983365,-2664.2492954031018,"""PSU_Pitts""",True,"""SparkFun GPS Locked with RTK"""
1720654911922062675,,10,,1720654911,921299695,"""SparkFun GPS Diagnostic""",6,12,0.5,0.1,-174272.0175850326,-46490.253161682005,-2664.3488655314222,"""PSU_Pitts""",True,"""SparkFun GPS Locked with RTK"""
1720654912006970790,,11,,1720654912,6070375,"""SparkFun GPS Diagnostic""",6,12,0.54,0.2,-174272.61598812524,-46489.51553091731,-2664.445840552533,"""PSU_Pitts""",True,"""SparkFun GPS Locked with RTK"""
1720654912122714907,,12,,1720654912,122138023,"""SparkFun GPS Diagnostic""",6,12,0.54,0.2,-174273.21422484543,-46488.77415619666,-2664.5717953788817,"""PSU_Pitts""",True,"""SparkFun GPS Locked with RTK"""
1720654912230978382,,13,,1720654912,230402708,"""SparkFun GPS Diagnostic""",6,12,0.51,0.2,-174273.83016993795,-46488.00651226685,-2664.6900384668593,"""PSU_Pitts""",True,"""SparkFun GPS Locked with RTK"""
1720654912418372366,,14,,1720654912,417847394,"""SparkFun GPS Diagnostic""",6,12,0.46,0.2,-174275.08030402116,-46486.43884706437,-2664.89377321465,"""PSU_Pitts""",True,"""SparkFun GPS Locked with RTK"""
1720654912524994972,,15,,1720654912,524614334,"""SparkFun GPS Diagnostic""",6,12,0.48,0.1,-174275.71936152637,-46485.64673774585,-2664.994461597195,"""PSU_Pitts""",True,"""SparkFun GPS Locked with RTK"""
1720654912613278479,,16,,1720654912,612713098,"""SparkFun GPS Diagnostic""",6,12,0.48,0.2,-174276.36294274597,-46484.84446995725,-2665.102202157912,"""PSU_Pitts""",True,"""SparkFun GPS Locked with RTK"""
1720654912714624049,,17,,1720654912,714252710,"""SparkFun GPS Diagnostic""",6,12,0.5,0.2,-174277.00570867912,-46484.0321371974,-2665.220851450368,"""PSU_Pitts""",True,"""SparkFun GPS Locked with RTK"""
1720654912806007410,,18,,1720654912,805542945,"""SparkFun GPS Diagnostic""",6,12,0.49,0.3,-174277.65898245343,-46483.21088883182,-2665.3357209596265,"""PSU_Pitts""",True,"""SparkFun GPS Locked with RTK"""
1720654912916328470,,19,,1720654912,915973901,"""SparkFun GPS Diagnostic""",6,12,0.49,0.4,-174278.32097828892,-46482.37949474129,-2665.4437517659167,"""PSU_Pitts""",True,"""SparkFun GPS Locked with RTK"""
1720654913017707770,,20,,1720654913,16687631,"""SparkFun GPS Diagnostic""",6,12,0.49,0.2,-174278.9873141845,-46481.53871082501,-2665.5558341761916,"""PSU_Pitts""",True,"""SparkFun GPS Locked with RTK"""
1720654913102447784,,21,,1720654913,100932121,"""SparkFun GPS Diagnostic""",6,12,0.49,0.3,-174279.66625734454,-46480.68431805915,-2665.666160627965,"""PSU_Pitts""",True,"""SparkFun GPS Locked with RTK"""
1720654913210328458,,22,,1720654913,209873199,"""SparkFun GPS Diagnostic""",6,12,0.49,0.4,-174280.34033711394,-46479.82873556525,-2665.7773462158916,"""PSU_Pitts""",True,"""SparkFun GPS Locked with RTK"""
1720654913307308487,,23,,1720654913,305983543,"""SparkFun GPS Diagnostic""",6,12,0.49,0.5,-174281.02431593384,-46478.972881008,-2665.893802207347,"""PSU_Pitts""",True,"""SparkFun GPS Locked with RTK"""
1720654913411383708,,24,,1720654913,407949209,"""SparkFun GPS Diagnostic""",6,12,0.47,0.6,-174281.70770681268,-46478.110658611105,-2666.0212001874042,"""PSU_Pitts""",True,"""SparkFun GPS Locked with RTK"""
1720654913545465159,,25,,1720654913,545067787,"""SparkFun GPS Diagnostic""",6,12,0.47,0.6,-174282.40140293137,-46477.23039633353,-2666.128739821412,"""PSU_Pitts""",True,"""SparkFun GPS Locked with RTK"""
1720654913717831194,,26,,1720654913,716938018,"""SparkFun GPS Diagnostic""",6,12,0.49,0.5,-174283.80024371535,-46475.463269069645,-2666.3490859287904,"""PSU_Pitts""",True,"""SparkFun GPS Locked with RTK"""
1720654913837099366,,27,,1720654913,836761951,"""SparkFun GPS Diagnostic""",6,12,0.49,0.4,-174284.4954841132,-46474.57387554778,-2666.459602773866,"""PSU_Pitts""",True,"""SparkFun GPS Locked with RTK"""
1720654914014194341,,28,,1720654914,13166427,"""SparkFun GPS Diagnostic""",6,12,0.49,0.4,-174285.87856522764,-46472.79498154704,-2666.6924390873214,"""PSU_Pitts""",True,"""SparkFun GPS Locked with RTK"""
1720654914115086448,,29,,1720654914,114475011,"""SparkFun GPS Diagnostic""",6,12,0.49,0.4,-174286.56314353234,-46471.91023337953,-2666.808701834209,"""PSU_Pitts""",True,"""SparkFun GPS Locked with RTK"""
1720654914237113769,,30,,1720654914,236741781,"""SparkFun GPS Diagnostic""",6,12,0.49,0.5,-174287.24738880649,-46471.028502627836,-2666.9189753402798,"""PSU_Pitts""",True,"""SparkFun GPS Locked with RTK"""
1720654914421441642,,31,,1720654914,420976877,"""SparkFun GPS Diagnostic""",6,12,0.5,0.3,-174288.606632621,-46469.28340560399,-2667.1153951496976,"""PSU_Pitts""",True,"""SparkFun GPS Locked with RTK"""
