rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,MessageID,GPSSecs,GPSMicroSecs,Latitude,Longitude,Altitude,GeoSep,NavMode,NumOfSats,HDOP,AgeOfDiff,LockStatus,BaseStationID
1720654911111095817,,1,,1720654911,105504274,"""SparkFun GPS GGA""","""GGA""",1720654910.0,900000.0,40.42660688,-79.88990338166667,228.103,-34.26,2,12,0.47,0.0,2,"""PSU_Pitts"""
1720654911220609890,,2,,1720654911,219966173,"""SparkFun GPS GGA""","""GGA""",1720654911.0,0.0,40.42661262833333,-79.88991002333333,228.01999999999998,-34.26,2,12,0.47,0.0,2,"""PSU_Pitts"""
1720654911302802868,,3,,1720654911,302244424,"""SparkFun GPS GGA""","""GGA""",1720654911.0,100000.0,40.42661854166667,-79.88991673833333,227.954,-34.26,2,12,0.47,0.0,2,"""PSU_Pitts"""
1720654911415979916,,4,,1720654911,415372610,"""SparkFun GPS GGA""","""GGA""",1720654911.0,200000.0,40.426624491666665,-79.88992355833334,227.873,-34.26,2,12,0.47,0.0,2,"""PSU_Pitts"""
1720654911505035724,,5,,1720654911,504700660,"""SparkFun GPS GGA""","""GGA""",1720654911.0,300000.0,40.42663055333333,-79.88993048666667,227.8,-34.26,2,12,0.47,0.0,2,"""PSU_Pitts"""
1720654911618060498,,6,,1720654911,617804288,"""SparkFun GPS GGA""","""GGA""",1720654911.0,400000.0,40.426632885,-79.88994111,226.21300000000002,-34.26,2,12,0.53,0.2,2,"""PSU_Pitts"""
1720654911712951442,,7,,1720654911,712731599,"""SparkFun GPS GGA""","""GGA""",1720654911.0,500000.0,40.42663776166667,-79.88994917833334,226.02300000000002,-34.26,2,12,0.57,0.2,2,"""PSU_Pitts"""
1720654911819587089,,8,,1720654911,819041252,"""SparkFun GPS GGA""","""GGA""",1720654911.0,600000.0,40.42664374,-79.88995628,225.90800000000002,-34.26,2,12,0.55,0.2,2,"""PSU_Pitts"""
1720654911919524998,,9,,1720654911,918993234,"""SparkFun GPS GGA""","""GGA""",1720654911.0,700000.0,40.426650056666666,-79.88996321,225.84000000000003,-34.26,2,12,0.55,0.2,2,"""PSU_Pitts"""
1720654912026609545,,10,,1720654912,19789218,"""SparkFun GPS GGA""","""GGA""",1720654911.0,800000.0,40.426656465,-79.88997039333333,225.777,-34.26,2,12,0.55,0.2,2,"""PSU_Pitts"""
1720654912113930336,,11,,1720654912,113647222,"""SparkFun GPS GGA""","""GGA""",1720654911.0,900000.0,40.42666268,-79.8899778,225.68400000000003,-34.26,2,12,0.55,0.2,2,"""PSU_Pitts"""
1720654912251347227,,12,,1720654912,251061916,"""SparkFun GPS GGA""","""GGA""",1720654912.0,0.0,40.42666916,-79.88998540833333,225.61400000000003,-34.26,2,12,0.55,0.2,2,"""PSU_Pitts"""
1720654912421257206,,13,,1720654912,420421361,"""SparkFun GPS GGA""","""GGA""",1720654912.0,200000.0,40.42668223166667,-79.89000217166667,226.85200000000003,-34.26,4,12,0.55,0.2,6,"""PSU_Pitts"""
1720654912525329204,,14,,1720654912,525042057,"""SparkFun GPS GGA""","""GGA""",1720654912.0,300000.0,40.42668928,-79.89000987833333,226.75900000000001,-34.26,4,12,0.55,0.2,6,"""PSU_Pitts"""
1720654912717561383,,15,,1720654912,717108726,"""SparkFun GPS GGA""","""GGA""",1720654912.0,500000.0,40.42670352333333,-79.89002555833333,226.577,-34.26,4,12,0.55,0.2,6,"""PSU_Pitts"""
1720654912822067698,,16,,1720654912,818823099,"""SparkFun GPS GGA""","""GGA""",1720654912.0,600000.0,40.42671084333333,-79.89003350833333,226.476,-34.26,4,12,0.55,0.3,6,"""PSU_Pitts"""
1720654912923572850,,17,,1720654912,923228979,"""SparkFun GPS GGA""","""GGA""",1720654912.0,700000.0,40.42671817,-79.89004152833333,226.378,-34.26,4,12,0.55,0.4,6,"""PSU_Pitts"""
1720654913118525263,,18,,1720654913,118006944,"""SparkFun GPS GGA""","""GGA""",1720654912.0,900000.0,40.4267332,-79.89005786833333,226.175,-34.26,4,12,0.55,0.3,6,"""PSU_Pitts"""
1720654913243832428,,19,,1720654913,243443727,"""SparkFun GPS GGA""","""GGA""",1720654913.0,0.0,40.42674076833333,-79.89006610833333,226.079,-34.26,4,12,0.55,0.4,6,"""PSU_Pitts"""
1720654913427594796,,20,,1720654913,426182746,"""SparkFun GPS GGA""","""GGA""",1720654913.0,200000.0,40.42675602166667,-79.89008273,225.873,-34.26,4,12,0.55,0.6,6,"""PSU_Pitts"""
1720654913544712184,,21,,1720654913,541204690,"""SparkFun GPS GGA""","""GGA""",1720654913.0,300000.0,40.426763763333334,-79.89009117166667,225.77300000000002,-34.26,4,12,0.55,0.7,6,"""PSU_Pitts"""
1720654913718641415,,22,,1720654913,718377828,"""SparkFun GPS GGA""","""GGA""",1720654913.0,500000.0,40.426779455,-79.89010810833334,225.56799999999998,-34.26,4,12,0.55,0.5,6,"""PSU_Pitts"""
1720654913839903538,,23,,1720654913,839562654,"""SparkFun GPS GGA""","""GGA""",1720654913.0,600000.0,40.426787325,-79.89011653666667,225.46500000000003,-34.26,4,12,0.53,0.6,6,"""PSU_Pitts"""
1720654914028760430,,24,,1720654914,24332046,"""SparkFun GPS GGA""","""GGA""",1720654913.0,800000.0,40.426803065,-79.89013337,225.262,-34.26,4,12,0.53,0.4,6,"""PSU_Pitts"""
1720654914261275004,,25,,1720654914,260585546,"""SparkFun GPS GGA""","""GGA""",1720654914.0,0.0,40.426818745,-79.89015003166666,225.055,-34.26,4,12,0.53,0.5,6,"""PSU_Pitts"""
1720654914416656885,,26,,1720654914,416226387,"""SparkFun GPS GGA""","""GGA""",1720654914.0,200000.0,40.42683424,-79.89016649833333,224.848,-34.26,4,12,0.53,0.4,6,"""PSU_Pitts"""
1720654914517472088,,27,,1720654914,517180204,"""SparkFun GPS GGA""","""GGA""",1720654914.0,300000.0,40.42684196333333,-79.89017457833333,224.74599999999998,-34.26,4,12,0.53,0.4,6,"""PSU_Pitts"""
1720654914754915851,,28,,1720654914,751201391,"""SparkFun GPS GGA""","""GGA""",1720654914.0,500000.0,40.42685728166666,-79.89019051166666,224.546,-34.26,4,12,0.52,0.6,6,"""PSU_Pitts"""
1720654914917782770,,29,,1720654914,917291402,"""SparkFun GPS GGA""","""GGA""",1720654914.0,700000.0,40.426872618333334,-79.89020585666667,224.34500000000003,-34.26,4,12,0.52,0.6,6,"""PSU_Pitts"""
1720654915061801056,,30,,1720654915,56123733,"""SparkFun GPS GGA""","""GGA""",1720654914.0,800000.0,40.426880233333335,-79.89021324,224.25799999999998,-34.26,4,12,0.52,0.7,6,"""PSU_Pitts"""
1720654915241316073,,31,,1720654915,240975856,"""SparkFun GPS GGA""","""GGA""",1720654915.0,0.0,40.42689549333333,-79.89022754,224.079,-34.26,4,12,0.52,0.2,6,"""PSU_Pitts"""
1720654915424735651,,32,,1720654915,422324419,"""SparkFun GPS GGA""","""GGA""",1720654915.0,200000.0,40.426910776666666,-79.89024109833333,223.90699999999998,-34.26,4,12,0.53,0.4,6,"""PSU_Pitts"""
1720654915546529219,,33,,1720654915,545354127,"""SparkFun GPS GGA""","""GGA""",1720654915.0,300000.0,40.426918478333334,-79.890247535,223.79200000000003,-34.26,4,12,0.52,0.3,6,"""PSU_Pitts"""
1720654915718693987,,34,,1720654915,718369483,"""SparkFun GPS GGA""","""GGA""",1720654915.0,500000.0,40.42693396166667,-79.89025994833334,223.60500000000002,-34.26,4,12,0.52,0.4,6,"""PSU_Pitts"""
1720654915827878640,,35,,1720654915,826061010,"""SparkFun GPS GGA""","""GGA""",1720654915.0,600000.0,40.42694175,-79.89026594833334,223.524,-34.26,4,12,0.52,0.4,6,"""PSU_Pitts"""
1720654916026874845,,36,,1720654916,26223897,"""SparkFun GPS GGA""","""GGA""",1720654915.0,800000.0,40.426957503333334,-79.89027725833333,223.346,-34.26,4,12,0.52,0.3,6,"""PSU_Pitts"""
1720654916263093856,,37,,1720654916,259315967,"""SparkFun GPS GGA""","""GGA""",1720654916.0,0.0,40.426973425,-79.890287735,223.175,-34.26,4,12,0.51,0.2,6,"""PSU_Pitts"""
1720654916420692605,,38,,1720654916,419425725,"""SparkFun GPS GGA""","""GGA""",1720654916.0,200000.0,40.426989676666665,-79.89029709,222.995,-34.26,4,12,0.51,0.3,6,"""PSU_Pitts"""
1720654916547575121,,39,,1720654916,541712999,"""SparkFun GPS GGA""","""GGA""",1720654916.0,300000.0,40.426997981666666,-79.89030126666667,222.913,-34.26,4,12,0.5,0.4,6,"""PSU_Pitts"""
