rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,MessageID,GPSSecs,GPSMicroSecs,StdMajor,StdMinor,StdOri,StdLat,StdLon,StdAlt
1720654911109895683,,1,,1720654911,24740695,"""SparkFun GPS GST""","""GST""",1720654910.0,800000.0,2.1,1.7,3.4,0.84,0.7,0.55
1720654911123238942,,2,,1720654911,122484207,"""SparkFun GPS GST""","""GST""",1720654910.0,900000.0,1.7,1.3,3.4,0.68,0.54,0.45
1720654911244578138,,3,,1720654911,244157791,"""SparkFun GPS GST""","""GST""",1720654911.0,0.0,1.4,1.1,3.7,0.59,0.45,0.4
1720654911415850303,,4,,1720654911,415536642,"""SparkFun GPS GST""","""GST""",1720654911.0,200000.0,1.3,0.97,3.7,0.52,0.4,0.37
1720654911522886953,,5,,1720654911,522681236,"""SparkFun GPS GST""","""GST""",1720654911.0,300000.0,1.2,0.88,3.3,0.48,0.36,0.35
1720654911622722919,,6,,1720654911,622587680,"""SparkFun GPS GST""","""GST""",1720654911.0,400000.0,1.1,0.81,3.2,0.44,0.33,0.34
1720654911723547093,,7,,1720654911,723358631,"""SparkFun GPS GST""","""GST""",1720654911.0,500000.0,0.0085,0.0072,41.0,0.01,0.01,0.01
1720654911822177431,,8,,1720654911,821946859,"""SparkFun GPS GST""","""GST""",1720654911.0,600000.0,0.011,0.0087,36.0,0.01,0.01,0.01
1720654911937414801,,9,,1720654911,936942338,"""SparkFun GPS GST""","""GST""",1720654911.0,700000.0,0.01,0.0086,36.0,0.01,0.01,0.01
1720654912117972136,,10,,1720654912,117823839,"""SparkFun GPS GST""","""GST""",1720654911.0,900000.0,0.013,0.0093,34.0,0.01,0.01,0.01
1720654912249855096,,11,,1720654912,249656915,"""SparkFun GPS GST""","""GST""",1720654912.0,0.0,0.012,0.009,27.0,0.01,0.01,0.01
1720654912439680927,,12,,1720654912,439201831,"""SparkFun GPS GST""","""GST""",1720654912.0,200000.0,0.012,0.0089,28.0,0.01,0.01,0.01
1720654912626113048,,13,,1720654912,625924587,"""SparkFun GPS GST""","""GST""",1720654912.0,400000.0,0.012,0.0093,30.0,0.01,0.01,0.01
1720654912723985379,,14,,1720654912,723806381,"""SparkFun GPS GST""","""GST""",1720654912.0,500000.0,0.011,0.0088,26.0,0.01,0.01,0.01
1720654912841231220,,15,,1720654912,841051578,"""SparkFun GPS GST""","""GST""",1720654912.0,600000.0,0.011,0.0087,25.0,0.01,0.01,0.01
1720654913037832826,,16,,1720654913,37612915,"""SparkFun GPS GST""","""GST""",1720654912.0,800000.0,0.011,0.0082,36.0,0.01,0.01,0.01
1720654913229242593,,17,,1720654913,229030370,"""SparkFun GPS GST""","""GST""",1720654913.0,0.0,0.011,0.0079,33.0,0.01,0.01,0.01
1720654913318987107,,18,,1720654913,318617820,"""SparkFun GPS GST""","""GST""",1720654913.0,100000.0,0.0097,0.0073,34.0,0.01,0.01,0.01
1720654913423548496,,19,,1720654913,423157930,"""SparkFun GPS GST""","""GST""",1720654913.0,200000.0,0.0096,0.0073,34.0,0.01,0.01,0.01
1720654913559795742,,20,,1720654913,559606313,"""SparkFun GPS GST""","""GST""",1720654913.0,300000.0,0.0094,0.0071,34.0,0.01,0.01,0.01
1720654913724591089,,21,,1720654913,724432468,"""SparkFun GPS GST""","""GST""",1720654913.0,500000.0,0.011,0.009,26.0,0.01,0.01,0.01
