rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,MessageID,GPSSecs,GPSMicroSecs,StdMajor,StdMinor,StdOri,StdLat,StdLon,StdAlt
1720654911110261182,,1,,1720654911,19024848,"""SparkFun GPS GST""","""GST""",1720654910.0,800000.0,-1.0,-1.0,-1.0,0.099,0.083,0.18
1720654911119158348,,2,,1720654911,118592739,"""SparkFun GPS GST""","""GST""",1720654910.0,900000.0,-1.0,-1.0,-1.0,0.099,0.083,0.18
1720654911226795636,,3,,1720654911,226497650,"""SparkFun GPS GST""","""GST""",1720654911.0,0.0,-1.0,-1.0,-1.0,0.099,0.083,0.18
1720654911314368784,,4,,1720654911,314098834,"""SparkFun GPS GST""","""GST""",1720654911.0,100000.0,-1.0,-1.0,-1.0,0.099,0.083,0.18
1720654911409901455,,5,,1720654911,409669637,"""SparkFun GPS GST""","""GST""",1720654911.0,200000.0,-1.0,-1.0,-1.0,0.099,0.083,0.18
1720654911520955644,,6,,1720654911,520744085,"""SparkFun GPS GST""","""GST""",1720654911.0,300000.0,-1.0,-1.0,-1.0,0.099,0.083,0.18
1720654911624276710,,7,,1720654911,624140024,"""SparkFun GPS GST""","""GST""",1720654911.0,400000.0,-1.0,-1.0,-1.0,0.011,0.01,0.016
1720654911710763156,,8,,1720654911,710436105,"""SparkFun GPS GST""","""GST""",1720654911.0,500000.0,-1.0,-1.0,-1.0,0.01,0.01,0.012
1720654911821665202,,9,,1720654911,821383953,"""SparkFun GPS GST""","""GST""",1720654911.0,600000.0,-1.0,-1.0,-1.0,0.01,0.01,0.011
1720654911922826744,,10,,1720654911,922418355,"""SparkFun GPS GST""","""GST""",1720654911.0,700000.0,-1.0,-1.0,-1.0,0.01,0.01,0.011
1720654912007296521,,11,,1720654912,7164478,"""SparkFun GPS GST""","""GST""",1720654911.0,800000.0,-1.0,-1.0,-1.0,0.01,0.01,0.011
1720654912122799179,,12,,1720654912,122635602,"""SparkFun GPS GST""","""GST""",1720654911.0,900000.0,-1.0,-1.0,-1.0,0.01,0.01,0.011
1720654912231405888,,13,,1720654912,231242179,"""SparkFun GPS GST""","""GST""",1720654912.0,0.0,-1.0,-1.0,-1.0,0.01,0.01,0.01
1720654912418679700,,14,,1720654912,418535470,"""SparkFun GPS GST""","""GST""",1720654912.0,200000.0,-1.0,-1.0,-1.0,0.01,0.01,0.01
1720654912525281388,,15,,1720654912,525133848,"""SparkFun GPS GST""","""GST""",1720654912.0,300000.0,-1.0,-1.0,-1.0,0.01,0.01,0.01
1720654912613537897,,16,,1720654912,613303661,"""SparkFun GPS GST""","""GST""",1720654912.0,400000.0,-1.0,-1.0,-1.0,0.01,0.01,0.01
1720654912714962195,,17,,1720654912,714849948,"""SparkFun GPS GST""","""GST""",1720654912.0,500000.0,-1.0,-1.0,-1.0,0.01,0.01,0.01
1720654912806274282,,18,,1720654912,806116342,"""SparkFun GPS GST""","""GST""",1720654912.0,600000.0,-1.0,-1.0,-1.0,0.01,0.01,0.01
1720654912916775062,,19,,1720654912,916574239,"""SparkFun GPS GST""","""GST""",1720654912.0,700000.0,-1.0,-1.0,-1.0,0.01,0.01,0.01
1720654913018062412,,20,,1720654913,17790794,"""SparkFun GPS GST""","""GST""",1720654912.0,800000.0,-1.0,-1.0,-1.0,0.01,0.01,0.01
1720654913102450599,,21,,1720654913,101566553,"""SparkFun GPS GST""","""GST""",1720654912.0,900000.0,-1.0,-1.0,-1.0,0.01,0.01,0.01
1720654913210692746,,22,,1720654913,210489034,"""SparkFun GPS GST""","""GST""",1720654913.0,0.0,-1.0,-1.0,-1.0,0.01,0.01,0.01
1720654913307319452,,23,,1720654913,306904315,"""SparkFun GPS GST""","""GST""",1720654913.0,100000.0,-1.0,-1.0,-1.0,0.01,0.01,0.012
1720654913411853464,,24,,1720654913,410984277,"""SparkFun GPS GST""","""GST""",1720654913.0,200000.0,-1.0,-1.0,-1.0,0.01,0.01,0.01
1720654913545789256,,25,,1720654913,545647621,"""SparkFun GPS GST""","""GST""",1720654913.0,300000.0,-1.0,-1.0,-1.0,0.01,0.01,0.01
1720654913717535965,,26,,1720654913,717372179,"""SparkFun GPS GST""","""GST""",1720654913.0,500000.0,-1.0,-1.0,-1.0,0.01,0.01,0.01
1720654913837371074,,27,,1720654913,837252378,"""SparkFun GPS GST""","""GST""",1720654913.0,600000.0,-1.0,-1.0,-1.0,0.01,0.01,0.01
