rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,note_accumulated_error_counts,err_failed_mode_count,err_failed_XI_format,err_failed_checkInformation,err_trigger_unknown_error_occured,err_bad_uppercase_character,err_bad_lowercase_character,err_bad_three_adj_element,err_bad_first_element,err_bad_character,err_wrong_element_length
1720654910660167261,,1,,1720654910,659812927,"""parsed arduino diag""",'',0,0,0,0,0,1,0,0,0,0
1720654910663983674,,2,,1720654910,663810253,"""parsed arduino diag""",'',0,0,0,0,0,2,0,0,0,0
1720654910760406147,,3,,1720654910,760205745,"""parsed arduino diag""",'',0,0,0,0,0,3,0,0,0,0
1720654910860860086,,4,,1720654910,860512971,"""parsed arduino diag""",'',0,0,0,0,0,4,0,0,0,0
1720654910960440070,,5,,1720654910,960253477,"""parsed arduino diag""",'',0,0,0,0,0,5,0,0,0,0
1720654911060972998,,6,,1720654911,60493230,"""parsed arduino diag""",'',0,0,0,0,0,6,0,0,0,0
1720654911160659426,,7,,1720654911,160387754,"""parsed arduino diag""",'',0,0,0,0,0,7,0,0,0,0
1720654911260883443,,8,,1720654911,260466098,"""parsed arduino diag""",'',0,0,0,0,0,8,0,0,0,0
1720654911360632536,,9,,1720654911,360379934,"""parsed arduino diag""",'',0,0,0,0,0,9,0,0,0,0
1720654911460542852,,10,,1720654911,460300683,"""parsed arduino diag""",'',0,0,0,0,0,10,0,0,0,0
1720654911560504558,,11,,1720654911,560269117,"""parsed arduino diag""",'',0,0,0,0,0,11,0,0,0,0
1720654911660558740,,12,,1720654911,660326719,"""parsed arduino diag""",'',0,0,0,0,0,12,0,0,0,0
1720654911760679611,,13,,1720654911,760430574,"""parsed arduino diag""",'',0,0,0,0,0,12,0,0,0,0
1720654911861199805,,14,,1720654911,860950946,"""parsed arduino diag""",'',0,0,0,0,0,13,0,0,0,0
1720654911960850557,,15,,1720654911,960668325,"""parsed arduino diag""",'',0,0,0,0,0,13,0,0,0,0
1720654912060704585,,16,,1720654912,60358285,"""parsed arduino diag""",'',0,0,0,0,0,13,0,0,0,0
1720654912160765082,,17,,1720654912,160555362,"""parsed arduino diag""",'',0,0,0,0,0,13,0,0,0,0
1720654913134439474,,18,,1720654913,133766889,"""parsed arduino diag""",'',0,0,0,0,0,13,0,0,0,0
